"ensembl_id","gene_symbol","log2FoldChange","padj","baseMean","lfcSE","stat","pvalue"
"ENSG00000152583","SPARCL1",4.57225331234798,3.57934488479012e-132,998.337855826789,0.183940141705204,24.8572892787905,2.15675155747778e-136
"ENSG00000165995","CACNB2",3.28848372850619,8.60267515165611e-132,495.74390646324,0.13263144230237,24.7941488942658,1.03671669699399e-135
"ENSG00000120129","DUSP1",2.94519716211337,1.21922716774813e-124,3412.96636722969,0.122180910139759,24.1052154444132,2.2039536654883e-128
"ENSG00000101347","SAMHD1",3.76436409185051,1.88307311549535e-124,12718.3059992293,0.156358055135152,24.0752808583906,4.53861922269305e-128
"ENSG00000189221","MAOA",3.35103945561866,2.56643343606261e-119,2344.07926169212,0.142170713291985,23.5705327632171,7.73208434581408e-123
"ENSG00000211445","GPX3",3.72776627968043,5.98472482483084e-107,12303.0282271948,0.166985156237309,22.3239380294543,2.16367491859394e-110
"ENSG00000157214","STEAP2",1.97412034840431,1.95582147170167e-100,3013.49816283239,0.0912427433410119,21.635916195836,8.2494277548275e-104
"ENSG00000162614","NEXN",2.03303447802019,2.16971657777832e-96,5400.10399071683,0.0959172234630627,21.1957186062949,1.04589856725877e-99
"ENSG00000125148","MT2A",2.20834059189816,1.50079280297363e-91,3660.24035945837,0.106895961445382,20.6587841302732,8.13878960397846e-95
"ENSG00000154734","ADAMTS1",2.34296700875061,2.44666052019221e-85,30352.2379328693,0.117437077402287,19.9508286529019,1.47424711990372e-88
"ENSG00000139132","FGD4",2.22623983424093,5.23588326889497e-83,1224.85906994744,0.113145580073662,19.6758886453326,3.47039744262742e-86
"ENSG00000162493","PDPN",1.88866377771275,3.82777175273439e-82,1101.05048584945,0.0965063862503059,19.5703502233953,2.76773084073347e-85
"ENSG00000162692","VCAM1",-3.6947938524898,8.73531850465754e-82,509.374874361374,0.189242087881518,-19.5241655482213,6.84256089181417e-85
"ENSG00000179094","PER1",3.18908356791134,1.33658010039175e-81,777.318224357546,0.163554193460331,19.4986352868099,1.12750791790097e-84
"ENSG00000134243","SORT1",2.19305115233103,3.83500934693916e-81,5517.59581613519,0.112804862421752,19.4411048003561,3.46620512196236e-84
"ENSG00000163884","KLF15",4.45677546806405,3.33841740669146e-78,561.688060329866,0.233494018424414,19.0873218000948,3.21852726603178e-81
"ENSG00000178695","KCTD12",-2.53087297565163,5.81909212726118e-75,2656.00165466089,0.13541253057395,-18.6900943725403,5.96074753937335e-78
"ENSG00000148848","ADAM12",-1.8171375025643,1.52072352616951e-69,1368.06694228104,0.100900402262883,-18.0092196047938,1.64937475723374e-72
"ENSG00000198624","CCDC69",2.91580372304538,1.78087859260598e-69,2059.60456650262,0.162011771141441,17.9974806923122,2.03884630389935e-72
"ENSG00000146250","PRSS35",-2.75879153445327,2.58952597600392e-69,314.499955579332,0.153488870231541,-17.9738865123679,3.12066278139783e-72
"ENSG00000107562","CXCL12",-1.91430948463847,1.66956356638185e-68,25187.5384327785,0.107139204625383,-17.8674976292007,2.11260754965165e-71
"ENSG00000106976","DNM1",-1.7589280786349,3.90209565048186e-66,886.712933076839,0.100178553358165,-17.557930511796,5.17269850027723e-69
"ENSG00000154930","ACSS1",1.89587411172237,3.37794270422147e-65,670.990162666368,0.108755587422203,17.432429511528,4.68141011069497e-68
"ENSG00000163394","CCKAR",-2.1912759399629,9.29125220041144e-65,1220.39993204208,0.126138092194614,-17.3720396577908,1.34363733917736e-67
"ENSG00000253368","TRNP1",1.98642255965385,7.74130222826094e-64,1041.50939497766,0.115170852072848,17.247615380994,1.16613976685059e-66
"ENSG00000163661","PTX3",2.25762331427723,3.74855152503383e-63,8576.64931766202,0.131609565902951,17.1539454506065,5.87264037423955e-66
"ENSG00000124766","SOX4",-2.41468856315957,7.38147988346841e-63,1284.22836542779,0.141108077045718,-17.1123341322072,1.20089152117165e-65
"ENSG00000197381","ADARB1",2.31842034009025,2.25154911408732e-62,1971.09046793645,0.136016549105205,17.0451342527225,3.79870903798777e-65
